,id,stco,name,yr,P_AsianO18,P_BlackO18,P_HispO18,P_NonHispO18,P_O18,P_OtherO18,P_TwoO18,P_WhiteO18,geotype,subreg
150,900982870,09009,"West Haven town, New Haven County, Connecticut",2000,2356,11176,6186,74318,80504,310,1414,59062,municipality,CT
151,900982870,09009,"West Haven town, New Haven County, Connecticut",2010,1604,7563,6791,37218,44009,215,678,27158,municipality,CT
152,900987560,09009,"Wolcott town, New Haven County, Connecticut",2000,162,284,334,22180,22514,46,136,21552,municipality,CT
153,900987560,09009,"Wolcott town, New Haven County, Connecticut",2010,134,192,353,12419,12772,29,90,11974,municipality,CT
154,900987700,09009,"Woodbridge town, New Haven County, Connecticut",2000,648,192,186,12788,12974,22,132,11794,municipality,CT
155,900987700,09009,"Woodbridge town, New Haven County, Connecticut",2010,552,130,174,6686,6860,14,60,5930,municipality,CT
156,3400300700,34003,"Allendale borough, Bergen County, New Jersey",2000,538,34,198,9128,9326,16,30,8510,municipality,INJ
157,3400300700,34003,"Allendale borough, Bergen County, New Jersey",2010,423,24,184,4474,4658,4,25,3998,municipality,INJ
158,3400301090,34003,"Alpine borough, Bergen County, New Jersey",2000,604,44,78,3210,3288,6,30,2526,municipality,INJ
159,3400301090,34003,"Alpine borough, Bergen County, New Jersey",2010,394,30,66,1365,1431,2,23,916,municipality,INJ
160,3400305170,34003,"Bergenfield borough, Bergen County, New Jersey",2000,7370,2320,6158,33294,39452,174,614,22816,municipality,INJ
161,3400305170,34003,"Bergenfield borough, Bergen County, New Jersey",2010,5241,1301,5005,15356,20361,70,316,8428,municipality,INJ
162,3400306490,34003,"Bogota borough, Bergen County, New Jersey",2000,930,512,2440,9882,12322,70,248,8122,municipality,INJ
163,3400306490,34003,"Bogota borough, Bergen County, New Jersey",2010,613,416,2215,4029,6244,54,83,2863,municipality,INJ
164,3400310480,34003,"Carlstadt borough, Bergen County, New Jersey",2000,554,102,666,8914,9580,18,44,8196,municipality,INJ
165,3400310480,34003,"Carlstadt borough, Bergen County, New Jersey",2010,400,80,764,4125,4889,22,35,3588,municipality,INJ
166,3400313570,34003,"Cliffside Park borough, Bergen County, New Jersey",2000,4524,594,6220,32032,38252,128,578,26208,municipality,INJ
167,3400313570,34003,"Cliffside Park borough, Bergen County, New Jersey",2010,2709,448,5067,14459,19526,176,292,10834,municipality,INJ
168,3400313810,34003,"Closter borough, Bergen County, New Jersey",2000,2432,116,456,11620,12076,24,98,8950,municipality,INJ
169,3400313810,34003,"Closter borough, Bergen County, New Jersey",2010,1884,79,346,5789,6135,10,47,3769,municipality,INJ
170,3400315820,34003,"Cresskill borough, Bergen County, New Jersey",2000,1946,100,394,11026,11420,16,118,8846,municipality,INJ
171,3400315820,34003,"Cresskill borough, Bergen County, New Jersey",2010,1608,45,357,5920,6277,9,36,4222,municipality,INJ
172,3400317530,34003,"Demarest borough, Bergen County, New Jersey",2000,1338,38,238,6650,6888,10,52,5212,municipality,INJ
173,3400317530,34003,"Demarest borough, Bergen County, New Jersey",2010,914,19,150,3390,3540,3,37,2417,municipality,INJ
174,3400318400,34003,"Dumont borough, Bergen County, New Jersey",2000,2720,322,2032,24446,26478,38,232,21134,municipality,INJ
175,3400318400,34003,"Dumont borough, Bergen County, New Jersey",2010,1969,279,1786,11767,13553,29,135,9355,municipality,INJ
176,3400319510,34003,"East Rutherford borough, Bergen County, New Jersey",2000,1438,464,1308,12746,14054,12,180,10652,municipality,INJ
177,3400319510,34003,"East Rutherford borough, Bergen County, New Jersey",2010,986,263,1109,6187,7296,22,82,4834,municipality,INJ
178,3400320020,34003,"Edgewater borough, Bergen County, New Jersey",2000,2952,382,1190,11798,12988,50,230,8184,municipality,INJ
179,3400320020,34003,"Edgewater borough, Bergen County, New Jersey",2010,3294,401,953,8519,9472,34,130,4660,municipality,INJ
180,3400321300,34003,"Elmwood Park borough, Bergen County, New Jersey",2000,2130,530,3654,26288,29942,48,488,23092,municipality,INJ
181,3400321300,34003,"Elmwood Park borough, Bergen County, New Jersey",2010,1590,610,2963,12395,15358,51,181,9963,municipality,INJ
182,3400321450,34003,"Emerson borough, Bergen County, New Jersey",2000,834,74,510,10544,11054,14,32,9590,municipality,INJ
183,3400321450,34003,"Emerson borough, Bergen County, New Jersey",2010,485,44,410,5221,5631,7,39,4646,municipality,INJ
184,3400321480,34003,"Englewood city, Bergen County, New Jersey",2000,2218,14582,8472,31422,39894,194,986,13442,municipality,INJ
185,3400321480,34003,"Englewood city, Bergen County, New Jersey",2010,1832,6574,5648,15476,21124,123,307,6640,municipality,INJ
186,3400321510,34003,"Englewood Cliffs borough, Bergen County, New Jersey",2000,2366,96,436,8006,8442,14,90,5440,municipality,INJ
187,3400321510,34003,"Englewood Cliffs borough, Bergen County, New Jersey",2010,1558,74,245,3898,4143,3,50,2213,municipality,INJ
188,3400322470,34003,"Fair Lawn borough, Bergen County, New Jersey",2000,2174,306,2460,46386,48846,76,440,43390,municipality,INJ
189,3400322470,34003,"Fair Lawn borough, Bergen County, New Jersey",2010,2256,347,2270,23035,25305,41,176,20215,municipality,INJ
190,3400322560,34003,"Fairview borough, Bergen County, New Jersey",2000,1024,254,7374,13538,20912,180,806,11274,municipality,INJ
191,3400322560,34003,"Fairview borough, Bergen County, New Jersey",2010,515,229,5923,5205,11128,164,147,4150,municipality,INJ
192,3400324420,34003,"Fort Lee borough, Bergen County, New Jersey",2000,16448,926,4314,54208,58522,132,768,35934,municipality,INJ
193,3400324420,34003,"Fort Lee borough, Bergen County, New Jersey",2010,10700,647,2966,26382,29348,98,272,14665,municipality,INJ
194,3400324990,34003,"Franklin Lakes borough, Bergen County, New Jersey",2000,936,140,390,14476,14866,26,96,13278,municipality,INJ
195,3400324990,34003,"Franklin Lakes borough, Bergen County, New Jersey",2010,591,91,340,7349,7689,6,57,6604,municipality,INJ
196,3400325770,34003,"Garfield city, Bergen County, New Jersey",2000,1104,1078,7894,38354,46248,100,784,35288,municipality,INJ
197,3400325770,34003,"Garfield city, Bergen County, New Jersey",2010,508,1044,6631,16746,23377,68,188,14938,municipality,INJ
198,3400326640,34003,"Glen Rock borough, Bergen County, New Jersey",2000,1008,302,418,15884,16302,28,80,14466,municipality,INJ
199,3400326640,34003,"Glen Rock borough, Bergen County, New Jersey",2010,717,118,329,7790,8119,13,45,6897,municipality,INJ
200,3400328680,34003,"Hackensack city, Bergen County, New Jersey",2000,5254,15420,16660,53152,69812,302,1630,30546,municipality,INJ
201,3400328680,34003,"Hackensack city, Bergen County, New Jersey",2010,3631,7628,11317,23662,34979,183,454,11766,municipality,INJ
202,3400330150,34003,"Harrington Park borough, Bergen County, New Jersey",2000,960,48,156,6612,6768,12,18,5574,municipality,INJ
203,3400330150,34003,"Harrington Park borough, Bergen County, New Jersey",2010,582,24,102,3258,3360,11,19,2622,municipality,INJ
204,3400330420,34003,"Hasbrouck Heights borough, Bergen County, New Jersey",2000,1084,280,1348,16804,18152,26,132,15282,municipality,INJ
205,3400330420,34003,"Hasbrouck Heights borough, Bergen County, New Jersey",2010,839,223,1234,7971,9205,24,75,6810,municipality,INJ
206,3400330540,34003,"Haworth borough, Bergen County, New Jersey",2000,448,70,116,4706,4822,4,22,4162,municipality,INJ
207,3400330540,34003,"Haworth borough, Bergen County, New Jersey",2010,283,32,93,2333,2426,4,22,1992,municipality,INJ
208,3400331920,34003,"Hillsdale borough, Bergen County, New Jersey",2000,742,136,610,14320,14930,24,74,13344,municipality,INJ
209,3400331920,34003,"Hillsdale borough, Bergen County, New Jersey",2010,483,73,525,6976,7501,19,32,6369,municipality,INJ
210,3400332310,34003,"Ho-Ho-Kus borough, Bergen County, New Jersey",2000,288,30,106,5778,5884,26,30,5404,municipality,INJ
211,3400332310,34003,"Ho-Ho-Kus borough, Bergen County, New Jersey",2010,173,8,106,2779,2885,3,22,2573,municipality,INJ
212,3400340020,34003,"Leonia borough, Bergen County, New Jersey",2000,3204,308,1614,11836,13450,14,166,8144,municipality,INJ
213,3400340020,34003,"Leonia borough, Bergen County, New Jersey",2010,2344,137,1074,5868,6942,17,85,3285,municipality,INJ
214,3400340680,34003,"Little Ferry borough, Bergen County, New Jersey",2000,2788,752,2358,14874,17232,48,372,10914,municipality,INJ
215,3400340680,34003,"Little Ferry borough, Bergen County, New Jersey",2010,2022,283,1752,6781,8533,36,125,4315,municipality,INJ
216,3400341100,34003,"Lodi borough, Bergen County, New Jersey",2000,3014,1176,5992,31738,37730,150,514,26884,municipality,INJ
217,3400341100,34003,"Lodi borough, Bergen County, New Jersey",2010,1556,1145,5138,13851,18989,91,264,10795,municipality,INJ
218,3400342090,34003,"Lyndhurst township, Bergen County, New Jersey",2000,1588,150,2614,28766,31380,64,392,26572,municipality,INJ
219,3400342090,34003,"Lyndhurst township, Bergen County, New Jersey",2010,1108,244,2733,13938,16671,98,192,12296,municipality,INJ
220,3400342750,34003,"Mahwah township, Bergen County, New Jersey",2000,2258,800,1480,35954,37434,260,364,32272,municipality,INJ
221,3400342750,34003,"Mahwah township, Bergen County, New Jersey",2010,1478,508,1190,19564,20754,114,285,17179,municipality,INJ
222,3400344880,34003,"Maywood borough, Bergen County, New Jersey",2000,1022,350,1570,13458,15028,42,152,11892,municipality,INJ
223,3400344880,34003,"Maywood borough, Bergen County, New Jersey",2010,817,337,1253,6291,7544,37,79,5021,municipality,INJ
224,3400346110,34003,"Midland Park borough, Bergen County, New Jersey",2000,210,40,380,10136,10516,24,28,9834,municipality,INJ
225,3400346110,34003,"Midland Park borough, Bergen County, New Jersey",2010,133,32,317,5074,5391,5,44,4860,municipality,INJ
226,3400347610,34003,"Montvale borough, Bergen County, New Jersey",2000,552,46,296,10122,10418,10,38,9476,municipality,INJ
227,3400347610,34003,"Montvale borough, Bergen County, New Jersey",2010,611,43,267,5478,5745,10,36,4778,municipality,INJ
228,3400347700,34003,"Moonachie borough, Bergen County, New Jersey",2000,254,30,490,3868,4358,10,78,3496,municipality,INJ
229,3400347700,34003,"Moonachie borough, Bergen County, New Jersey",2010,207,18,467,1739,2206,4,31,1479,municipality,INJ
230,3400351660,34003,"New Milford borough, Bergen County, New Jersey",2000,3524,610,1868,23922,25790,38,276,19474,municipality,INJ
231,3400351660,34003,"New Milford borough, Bergen County, New Jersey",2010,2395,414,1588,11350,12938,35,145,8361,municipality,INJ
232,3400352320,34003,"North Arlington borough, Bergen County, New Jersey",2000,1332,98,2400,22490,24890,58,312,20690,municipality,INJ
233,3400352320,34003,"North Arlington borough, Bergen County, New Jersey",2010,999,109,2399,10285,12684,79,95,9003,municipality,INJ
234,3400353430,34003,"Northvale borough, Bergen County, New Jersey",2000,896,48,338,6578,6916,6,32,5596,municipality,INJ
235,3400353430,34003,"Northvale borough, Bergen County, New Jersey",2010,786,33,261,3212,3473,6,31,2356,municipality,INJ
236,3400353610,34003,"Norwood borough, Bergen County, New Jersey",2000,1518,66,232,8306,8538,16,74,6632,municipality,INJ
237,3400353610,34003,"Norwood borough, Bergen County, New Jersey",2010,1158,46,179,4215,4394,11,28,2972,municipality,INJ
238,3400353850,34003,"Oakland borough, Bergen County, New Jersey",2000,498,144,642,17946,18588,18,112,17174,municipality,INJ
239,3400353850,34003,"Oakland borough, Bergen County, New Jersey",2010,376,79,473,8969,9442,17,59,8438,municipality,INJ
240,3400354870,34003,"Old Tappan borough, Bergen County, New Jersey",2000,1152,50,218,7790,8008,6,28,6554,municipality,INJ
241,3400354870,34003,"Old Tappan borough, Bergen County, New Jersey",2010,872,30,180,3995,4175,3,33,3057,municipality,INJ
242,3400354990,34003,"Oradell borough, Bergen County, New Jersey",2000,938,62,356,11684,12040,4,74,10606,municipality,INJ
243,3400354990,34003,"Oradell borough, Bergen County, New Jersey",2010,647,39,263,5631,5894,3,38,4904,municipality,INJ
244,3400355770,34003,"Palisades Park borough, Bergen County, New Jersey",2000,11048,262,4282,23240,27522,88,490,11352,municipality,INJ
245,3400355770,34003,"Palisades Park borough, Bergen County, New Jersey",2010,9543,204,2820,13559,16379,54,103,3655,municipality,INJ
246,3400355950,34003,"Paramus borough, Bergen County, New Jersey",2000,6092,418,1722,37788,39510,32,366,30880,municipality,INJ
247,3400355950,34003,"Paramus borough, Bergen County, New Jersey",2010,4338,273,1369,19305,20674,62,390,14242,municipality,INJ
248,3400356130,34003,"Park Ridge borough, Bergen County, New Jersey",2000,508,104,694,12634,13328,8,44,11970,municipality,INJ
249,3400356130,34003,"Park Ridge borough, Bergen County, New Jersey",2010,395,62,430,6237,6667,15,35,5730,municipality,INJ
250,3400361680,34003,"Ramsey borough, Bergen County, New Jersey",2000,1182,168,616,20332,20948,28,120,18834,municipality,INJ
251,3400361680,34003,"Ramsey borough, Bergen County, New Jersey",2010,719,74,598,10029,10627,17,62,9157,municipality,INJ
252,3400362910,34003,"Ridgefield borough, Bergen County, New Jersey",2000,2564,112,2140,14790,16930,32,218,11864,municipality,INJ
253,3400362910,34003,"Ridgefield borough, Bergen County, New Jersey",2010,2405,73,1715,6936,8651,30,82,4346,municipality,INJ
254,3400362940,34003,"Ridgefield Park village, Bergen County, New Jersey",2000,1588,652,3958,16032,19990,38,244,13510,municipality,INJ
255,3400362940,34003,"Ridgefield Park village, Bergen County, New Jersey",2010,1148,425,3278,6657,9935,29,100,4955,municipality,INJ
256,3400363000,34003,"Ridgewood village, Bergen County, New Jersey",2000,2818,586,1284,33638,34922,44,212,29978,municipality,INJ
257,3400363000,34003,"Ridgewood village, Bergen County, New Jersey",2010,2192,291,861,16445,17306,29,128,13805,municipality,INJ
258,3400363360,34003,"River Edge borough, Bergen County, New Jersey",2000,1882,184,860,15764,16624,28,118,13552,municipality,INJ
259,3400363360,34003,"River Edge borough, Bergen County, New Jersey",2010,1754,106,606,7790,8396,13,57,5860,municipality,INJ
260,3400363690,34003,"River Vale township, Bergen County, New Jersey",2000,796,64,396,13356,13752,14,54,12428,municipality,INJ
261,3400363690,34003,"River Vale township, Bergen County, New Jersey",2010,552,51,309,6777,7086,8,52,6114,municipality,INJ
262,3400363990,34003,"Rochelle Park township, Bergen County, New Jersey",2000,452,44,706,8288,8994,10,54,7728,municipality,INJ
263,3400363990,34003,"Rochelle Park township, Bergen County, New Jersey",2010,375,105,658,3866,4524,8,43,3335,municipality,INJ
264,3400364170,34003,"Rockleigh borough, Bergen County, New Jersey",2000,22,10,22,554,576,2,6,514,municipality,INJ
265,3400364170,34003,"Rockleigh borough, Bergen County, New Jersey",2010,6,8,12,433,445,1,4,414,municipality,INJ
266,3400365280,34003,"Rutherford borough, Bergen County, New Jersey",2000,3086,772,2338,26360,28698,56,338,22108,municipality,INJ
267,3400365280,34003,"Rutherford borough, Bergen County, New Jersey",2010,1761,376,1829,12443,14272,46,192,10068,municipality,INJ
268,3400365340,34003,"Saddle Brook township, Bergen County, New Jersey",2000,918,262,1176,19822,20998,34,138,18470,municipality,INJ
269,3400365340,34003,"Saddle Brook township, Bergen County, New Jersey",2010,867,203,1217,9689,10906,26,104,8489,municipality,INJ
270,3400365400,34003,"Saddle River borough, Bergen County, New Jersey",2000,340,34,114,4850,4964,16,50,4410,municipality,INJ
271,3400365400,34003,"Saddle River borough, Bergen County, New Jersey",2010,240,42,119,2368,2487,12,29,2045,municipality,INJ
272,3400368970,34003,"South Hackensack township, Bergen County, New Jersey",2000,194,70,490,3124,3614,14,34,2812,municipality,INJ
273,3400368970,34003,"South Hackensack township, Bergen County, New Jersey",2010,87,71,559,1297,1856,3,20,1116,municipality,INJ
274,3400372360,34003,"Teaneck township, Bergen County, New Jersey",2000,4202,16428,5852,52426,58278,226,1246,30324,municipality,INJ
275,3400372360,34003,"Teaneck township, Bergen County, New Jersey",2010,2800,7960,4662,25161,29823,150,499,13752,municipality,INJ
276,3400372420,34003,"Tenafly borough, Bergen County, New Jersey",2000,3576,198,926,18874,19800,40,204,14856,municipality,INJ
277,3400372420,34003,"Tenafly borough, Bergen County, New Jersey",2010,2546,84,526,9446,9972,20,103,6693,municipality,INJ
278,3400372480,34003,"Teterboro borough, Bergen County, New Jersey",2000,0,0,0,24,24,0,4,20,municipality,INJ
279,3400372480,34003,"Teterboro borough, Bergen County, New Jersey",2010,2,2,17,34,51,1,1,28,municipality,INJ
280,3400375140,34003,"Upper Saddle River borough, Bergen County, New Jersey",2000,674,108,218,10518,10736,18,60,9658,municipality,INJ
281,3400375140,34003,"Upper Saddle River borough, Bergen County, New Jersey",2010,579,68,210,5483,5693,13,31,4792,municipality,INJ
282,3400376400,34003,"Waldwick borough, Bergen County, New Jersey",2000,582,88,706,13634,14340,6,78,12880,municipality,INJ
283,3400376400,34003,"Waldwick borough, Bergen County, New Jersey",2010,347,53,583,6613,7196,7,38,6168,municipality,INJ
284,3400376490,34003,"Wallington borough, Bergen County, New Jersey",2000,864,450,1122,17780,18902,18,270,16178,municipality,INJ
285,3400376490,34003,"Wallington borough, Bergen County, New Jersey",2010,470,255,879,8417,9296,14,79,7599,municipality,INJ
286,3400377135,34003,"Washington township, Bergen County, New Jersey",2000,734,112,442,13368,13810,26,86,12410,municipality,INJ
287,3400377135,34003,"Washington township, Bergen County, New Jersey",2010,452,68,351,6664,7015,9,39,6096,municipality,INJ
288,3400380270,34003,"Westwood borough, Bergen County, New Jersey",2000,734,956,970,16292,17262,46,128,14428,municipality,INJ
289,3400380270,34003,"Westwood borough, Bergen County, New Jersey",2010,610,377,865,7656,8521,10,53,6606,municipality,INJ
290,3400382300,34003,"Woodcliff Lake borough, Bergen County, New Jersey",2000,370,80,184,7870,8054,2,30,7388,municipality,INJ
291,3400382300,34003,"Woodcliff Lake borough, Bergen County, New Jersey",2010,271,37,199,3932,4131,0,17,3607,municipality,INJ
292,3400382570,34003,"Wood-Ridge borough, Bergen County, New Jersey",2000,570,98,836,11206,12042,14,70,10454,municipality,INJ
293,3400382570,34003,"Wood-Ridge borough, Bergen County, New Jersey",2010,406,71,704,5282,5986,13,38,4754,municipality,INJ
