stco,id_00,nm_00,geoid,name
34019,3401946260,"Milford borough, Hunterdon County, New Jersey",3401946260,"Milford borough, Hunterdon County, New Jersey"
34019,3401961920,"Raritan township, Hunterdon County, New Jersey",3401961920,"Raritan township, Hunterdon County, New Jersey"
34019,3401962250,"Readington township, Hunterdon County, New Jersey",3401962250,"Readington township, Hunterdon County, New Jersey"
34019,3401970980,"Stockton borough, Hunterdon County, New Jersey",3401970980,"Stockton borough, Hunterdon County, New Jersey"
34019,3401972510,"Tewksbury township, Hunterdon County, New Jersey",3401972510,"Tewksbury township, Hunterdon County, New Jersey"
34019,3401974420,"Union township, Hunterdon County, New Jersey",3401974420,"Union township, Hunterdon County, New Jersey"
34019,3401978230,"West Amwell township, Hunterdon County, New Jersey",3401978230,"West Amwell township, Hunterdon County, New Jersey"
34021,3402119780,"East Windsor township, Mercer County, New Jersey",3402119780,"East Windsor township, Mercer County, New Jersey"
34021,3402122185,"Ewing township, Mercer County, New Jersey",3402122185,"Ewing township, Mercer County, New Jersey"
34021,3402129310,"Hamilton township, Mercer County, New Jersey",3402129310,"Hamilton township, Mercer County, New Jersey"
34021,3402131620,"Hightstown borough, Mercer County, New Jersey",3402131620,"Hightstown borough, Mercer County, New Jersey"
34021,3402133150,"Hopewell borough, Mercer County, New Jersey",3402133150,"Hopewell borough, Mercer County, New Jersey"
34021,3402133180,"Hopewell township, Mercer County, New Jersey",3402133180,"Hopewell township, Mercer County, New Jersey"
34021,3402139510,"Lawrence township, Mercer County, New Jersey",3402139510,"Lawrence township, Mercer County, New Jersey"
34021,3402157600,"Pennington borough, Mercer County, New Jersey",3402157600,"Pennington borough, Mercer County, New Jersey"
34021,3402160900,"Princeton borough, Mercer County, New Jersey",3402160900,"Princeton borough, Mercer County, New Jersey"
34021,3402160915,"Princeton township, Mercer County, New Jersey",3402160900,"Princeton township, Mercer County, New Jersey"
34021,3402174000,"Trenton city, Mercer County, New Jersey",3402174000,"Trenton city, Mercer County, New Jersey"
