stco,ct_id,ct_name,name,id_sub
36081,36081009900,99,QN Northwest,36081NW
36081,36081010100,101,QN Northwest,36081NW
36081,36081010300,103,QN Northwest,36081NW
36081,36081010500,105,QN Northwest,36081NW
36081,36081010701,107.01,QN Northwest,36081NW
36081,36081011100,111,QN Northwest,36081NW
36081,36081011300,113,QN Northwest,36081NW
36081,36081011500,115,QN Northwest,36081NW
36081,36081011700,117,QN Northwest,36081NW
36081,36081011900,119,QN Northwest,36081NW
36081,36081012100,121,QN Northwest,36081NW
36081,36081012301,123.01,QN Northwest,36081NW
36081,36081012500,125,QN Northwest,36081NW
36081,36081013500,135,QN Northwest,36081NW
36081,36081013700,137,QN Northwest,36081NW
36081,36081014100,141,QN Northwest,36081NW
36081,36081014300,143,QN Northwest,36081NW
36081,36081014500,145,QN Northwest,36081NW
36081,36081014700,147,QN Northwest,36081NW
36081,36081014900,149,QN Northwest,36081NW
36081,36081015100,151,QN Northwest,36081NW
36081,36081015300,153,QN Northwest,36081NW
36081,36081015500,155,QN Northwest,36081NW
36081,36081015700,157,QN Northwest,36081NW
36081,36081015900,159,QN Northwest,36081NW
36081,36081016100,161,QN Northwest,36081NW
36081,36081016300,163,QN Northwest,36081NW
36081,36081016900,169,QN Northwest,36081NW
36081,36081017101,171.01,QN Northwest,36081NW
36081,36081017102,171.02,QN Northwest,36081NW
36081,36081017901,179.01,QN Northwest,36081NW
36081,36081017902,179.02,QN Northwest,36081NW
36081,36081018101,181.01,QN Northwest,36081NW
36081,36081018102,181.02,QN Northwest,36081NW
36081,36081018300,183,QN Northwest,36081NW
36081,36081018501,185.01,QN Northwest,36081NW
36081,36081018502,185.02,QN Northwest,36081NW
36081,36081018700,187,QN Northwest,36081NW
36081,36081018900,189,QN Northwest,36081NW
36081,36081019901,199.01,QN Northwest,36081NW
36081,36081019902,199.02,QN Northwest,36081NW
36081,36081019903,199.03,QN Northwest,36081NW
36081,36081020500,205,QN Northwest,36081NW
36081,36081021900,219,QN Northwest,36081NW
36081,36081022900,229,QN Northwest,36081NW
36081,36081023501,235.01,QN Northwest,36081NW
36081,36081023502,235.02,QN Northwest,36081NW
36081,36081024300,243,QN Northwest,36081NW
36081,36081024500,245,QN Northwest,36081NW
36081,36081024700,247,QN Northwest,36081NW
36081,36081024900,249,QN Northwest,36081NW
36081,36081025100,251,QN Northwest,36081NW
36081,36081025301,253.01,QN Northwest,36081NW
36081,36081025302,253.02,QN Northwest,36081NW
36081,36081025500,255,QN Northwest,36081NW
36081,36081025700,257,QN Northwest,36081NW
36081,36081025900,259,QN Northwest,36081NW
36081,36081026100,261,QN Northwest,36081NW
36081,36081026300,263,QN Northwest,36081NW
36081,36081026501,265.01,QN Northwest,36081NW
36081,36081026502,265.02,QN Northwest,36081NW
36081,36081026700,267,QN Northwest,36081NW
36081,36081026901,269.01,QN Northwest,36081NW
