,id,P_Asian,P_Black,P_Hisp,P_Other,P_White
1232,34003060000,541,96,1025,98,5934
1234,34003061100,220,18,228,45,3936
1236,34003061200,81,14,154,25,3151
1238,34003061300,125,23,145,26,3384
1240,34003061400,279,26,210,72,4534
1242,34013000100,116,1001,3967,111,704
1244,34013000200,75,427,2098,56,255
1246,34013000300,50,914,1916,66,400
1248,34013000400,104,171,1565,54,439
1250,34013000500,41,145,1297,54,204
1252,34013000600,146,399,3072,180,474
1254,34013000700,47,2807,3488,121,149
1256,34013000800,70,666,3374,110,319
1258,34013000900,15,1814,2045,42,95
1260,34013001000,74,1779,1188,82,188
1262,34013001100,464,1451,646,164,1025
1264,34013001300,3,1202,366,53,22
1266,34013001400,4,2040,459,49,49
1268,34013001500,14,1439,284,24,26
1270,34013001600,16,1097,577,18,48
1272,34013001700,3,1703,277,25,22
1274,34013001800,0,1631,265,33,18
1276,34013001900,8,1731,148,42,7
1278,34013002000,12,3858,119,79,56
1280,34013002100,31,2683,156,70,77
1282,34013002201,1070,3869,1588,319,1143
1284,34013002202,32,2794,134,76,99
1286,34013002300,25,3817,296,55,57
1288,34013002400,2,3205,156,53,40
1290,34013002500,15,3347,219,59,24
1292,34013002600,2,1337,370,16,29
1295,34013002800,7,1477,191,39,12
1299,34013003100,1,1777,258,14,15
1302,34013003500,2,2007,226,52,41
1304,34013003700,1,1801,167,38,43
1306,34013003800,4,1843,169,46,11
1308,34013003900,0,1334,122,9,1
1311,34013004100,5,3005,246,75,80
1313,34013004200,2,2564,199,49,17
1315,34013004300,5,2320,159,61,15
1317,34013004400,1,1607,68,25,7
1319,34013004500,6,3041,165,52,18
1321,34013004600,15,2972,145,45,21
1323,34013004700,4,4233,256,83,48
1325,34013004801,4,1956,215,41,20
1327,34013004802,8,2228,777,52,142
1329,34013004900,11,3323,170,81,67
1331,34013005000,21,2893,400,72,54
1333,34013005100,0,2080,89,35,10
1335,34013005200,0,1178,87,12,17
1337,34013005300,7,2425,135,27,29
1339,34013005400,39,3058,456,88,43
1341,34013005700,15,874,1223,239,313
1344,34013006200,5,1039,321,14,7
1346,34013006400,32,785,76,30,64
1348,34013006600,6,983,283,10,18
1350,34013006700,107,1729,1419,78,320
1352,34013006800,24,857,2377,368,1328
1354,34013006900,22,140,1838,317,1812
1356,34013007000,23,57,1538,282,1590
1358,34013007100,13,38,1060,397,2077
1360,34013007200,8,42,1221,362,1899
1362,34013007300,37,96,1774,606,2763
1364,34013007400,30,1753,1377,358,1625
1366,34013007501,43,722,2092,269,1114
1368,34013007502,11,545,1371,147,672
1370,34013007600,15,61,1256,351,1407
1372,34013007700,10,23,1139,210,1129
1374,34013007800,14,61,1943,227,1140
1376,34013007900,46,103,1989,270,1291
1378,34013008000,81,607,764,44,490
1380,34013008100,53,2703,404,108,218
1382,34013008200,111,1686,195,30,106
1386,34013008700,42,569,3259,61,176
1388,34013008800,6,464,1452,28,48
1390,34013008900,6,349,1559,36,69
1392,34013009000,40,1163,481,44,176
1394,34013009100,18,468,2641,34,170
1396,34013009200,4,1118,1814,68,224
1398,34013009300,180,916,3430,102,165
1400,34013009400,108,1255,3650,137,677
1402,34013009500,85,880,4446,130,479
1404,34013009600,10,1510,2774,71,131
1406,34013009700,43,599,3953,90,181
1409,34013009900,41,2038,152,37,85
1411,34013010000,32,2651,136,72,119
1413,34013010100,27,2308,186,90,68
1415,34013010200,36,3870,450,110,158
1417,34013010300,30,3261,445,97,104
1419,34013010400,21,3938,379,122,76
1421,34013010500,27,4157,321,136,85
1423,34013010600,8,3657,444,66,65
1425,34013010700,39,2800,295,86,91
1427,34013010800,6,1905,263,49,33
1429,34013010900,11,2417,303,61,34
1431,34013011100,44,2917,506,90,89
1433,34013011200,22,2875,241,103,29
1435,34013011300,19,3122,261,90,45
1437,34013011400,44,3668,263,135,175
1439,34013011500,4,2159,78,92,47
1441,34013011600,11,2659,107,61,30
1443,34013011700,7,3067,191,69,69
1445,34013011800,7,2233,74,49,20
1447,34013011900,36,1406,172,32,55
1449,34013012000,124,4792,547,113,236
1451,34013012100,38,2952,1028,99,125
1453,34013012200,58,4873,911,123,266
1455,34013012300,39,4157,407,89,123
1457,34013012400,44,3612,497,90,136
1459,34013012500,12,3421,168,53,125
1461,34013012600,24,2655,173,68,44
1463,34013012700,36,3497,251,55,65
1465,34013012800,4,3001,324,47,51
1467,34013012900,10,2679,269,37,49
1469,34013013000,24,1669,156,52,53
1471,34013013100,2,1444,185,42,10
