,STATE,COUNTY,GEOCODE,SUMLEV,POP100,HU100,P0010001,H0010001,NAME
23946,36,,3604913,160,8609,3506,8609,3506,Bayport CDP
23947,36,,3604935,160,29244,10126,29244,10126,Bay Shore CDP
23948,36,,3605034,160,6748,2691,6748,2691,Bayville village
23949,36,,3605039,160,7726,2266,7726,2266,Baywood CDP
23955,36,,3605639,160,1173,388,1173,388,Bellerose village
23956,36,,3605661,160,2329,692,2329,692,Bellerose Terrace CDP
23957,36,,3605672,160,808,312,808,312,Belle Terre village
23959,36,,3605738,160,16297,5776,16297,5776,Bellmore CDP
23960,36,,3605771,160,2203,1170,2203,1170,Bellport village
23964,36,,3606387,160,16658,6072,16658,6072,Bethpage CDP
23977,36,,3607069,160,5156,2132,5156,2132,Blue Point CDP
23978,36,,3607157,160,9852,3720,9852,3720,Bohemia CDP
23984,36,,3608026,160,62387,14127,62387,14127,Brentwood CDP
23990,36,,3608136,160,2953,2632,2953,2632,Bridgehampton CDP
23995,36,,3608323,160,3181,1160,3181,1160,Brightwaters village
24001,36,,3609000,160,3330,1177,3330,1177,Brookhaven CDP
24003,36,,3610132,160,2939,661,2939,661,Brookville village
24018,36,,3611781,160,5934,3016,5934,3016,Calverton CDP
24031,36,,3612402,160,48,35,48,35,Captree CDP
24032,36,,3612419,160,5005,1908,5005,1908,Carle Place CDP
24046,36,,3613233,160,7374,2413,7374,2413,Cedarhurst village
24049,36,,3613376,160,30980,10405,30980,10405,Centereach CDP
24050,36,,3613420,160,8046,2960,8046,2960,Center Moriches CDP
24051,36,,3613442,160,5822,2272,5822,2272,Centerport CDP
24053,36,,3613552,160,36714,10344,36714,10344,Central Islip CDP
24055,36,,3613618,160,407,229,407,229,Centre Island village
24093,36,,3616958,160,3064,1020,3064,1020,Cold Spring Harbor CDP
24096,36,,3617530,160,36536,12312,36536,12312,Commack CDP
24108,36,,3618146,160,23429,8024,23429,8024,Copiague CDP
24109,36,,3618157,160,40220,16060,40220,16060,Coram CDP
24117,36,,3618597,160,293,138,293,138,Cove Neck village
24131,36,,3619466,160,3437,2121,3437,2121,Cutchogue CDP
24138,36,,3619972,160,28837,9839,28837,9839,Deer Park CDP
24147,36,,3620379,160,50,34,50,34,Dering Harbor village
24151,36,,3620687,160,26180,8315,26180,8315,Dix Hills CDP
24165,36,,3621578,160,2101,994,2101,994,East Atlantic Beach CDP
24170,36,,3621985,160,6617,2275,6617,2275,East Farmingdale CDP
24174,36,,3622183,160,1517,1774,1517,1774,East Hampton village
24175,36,,3622200,160,5377,2856,5377,2856,East Hampton North CDP
24177,36,,3622260,160,7284,2294,7284,2294,East Hills village
24178,36,,3622315,160,13931,4918,13931,4918,East Islip CDP
24181,36,,3622447,160,1048,946,1048,946,East Marion CDP
24182,36,,3622480,160,19854,7112,19854,7112,East Massapequa CDP
24183,36,,3622502,160,37796,12951,37796,12951,East Meadow CDP
24184,36,,3622546,160,5946,2349,5946,2349,East Moriches CDP
24186,36,,3622612,160,20048,7246,20048,7246,East Northport CDP
24187,36,,3622623,160,2792,998,2792,998,East Norwich CDP
24188,36,,3622733,160,21580,8612,21580,8612,East Patchogue CDP
24189,36,,3622810,160,2219,1015,2219,1015,Eastport CDP
24190,36,,3622832,160,5557,3104,5557,3104,East Quogue CDP
24193,36,,3622876,160,10159,4000,10159,4000,East Rockaway village
24194,36,,3622964,160,10998,4038,10998,4038,East Setauket CDP
24195,36,,3622980,160,6841,2248,6841,2248,East Shoreham CDP
24197,36,,3623217,160,2645,864,2645,864,East Williston village
24199,36,,3623316,160,1334,570,1334,570,Eatons Neck CDP
24214,36,,3624273,160,35265,10270,35265,10270,Elmont CDP
24216,36,,3624405,160,11426,3846,11426,3846,Elwood CDP
24230,36,,3625384,160,8466,3868,8466,3868,Farmingdale village
24231,36,,3625417,160,14983,4845,14983,4845,Farmingville CDP
24236,36,,3625839,160,777,3357,777,3357,Fire Island CDP
24238,36,,3625923,160,424,609,424,609,Fishers Island CDP
24241,36,,3626121,160,5098,1714,5098,1714,Flanders CDP
24243,36,,3626264,160,16172,5961,16172,5961,Floral Park village
24245,36,,3626352,160,4794,1529,4794,1529,Flower Hill village
24257,36,,3626946,160,9652,3430,9652,3430,Fort Salonga CDP
24261,36,,3627309,160,30903,10231,30903,10231,Franklin Square CDP
24265,36,,3627485,160,44472,14137,44472,14137,Freeport village
24276,36,,3628178,160,23272,7715,23272,7715,Garden City village
24277,36,,3628189,160,7985,2592,7985,2592,Garden City Park CDP
24278,36,,3628200,160,4119,1454,4119,1454,Garden City South CDP
24289,36,,3628990,160,185,137,185,137,Gilgo CDP
24292,36,,3629113,160,28365,10793,28365,10793,Glen Cove city
24293,36,,3629245,160,4837,1787,4837,1787,Glen Head CDP
24297,36,,3629421,160,3948,1422,3948,1422,Glenwood Landing CDP
24300,36,,3629509,160,3981,1131,3981,1131,Gordon Heights CDP
24310,36,,3630169,160,11145,3883,11145,3883,Great Neck village
24311,36,,3630191,160,2990,937,2990,937,Great Neck Estates village
24312,36,,3630202,160,1268,397,1268,397,Great Neck Gardens CDP
24313,36,,3630213,160,7482,3954,7482,3954,Great Neck Plaza village
24314,36,,3630235,160,2005,842,2005,842,Great River CDP
24318,36,,3630543,160,13661,4669,13661,4669,Greenlawn CDP
24319,36,,3630576,160,2583,1277,2583,1277,Greenport village
24320,36,,3630581,160,2282,1658,2282,1658,Greenport West CDP
24321,36,,3630598,160,1069,373,1069,373,Greenvale CDP
24334,36,,3631445,160,2527,1099,2527,1099,Halesite CDP
24342,36,,3631896,160,15228,7879,15228,7879,Hampton Bays CDP
